star,period_days,M_V,n_obs,lc_scatter_mag,file
delta Cep,5.367346938775511,-3.47,44937,0.19980564980409576,aavso_delcep.dat
eta Aql,7.180159635119725,-3.7,20169,0.2682793691721806,aavso_etaaql.dat
RS Pup,41.47333333333333,-5.7,1351,0.42411775396177237,aavso_rspup.dat
RT Aur,3.729055258467023,-3.09,11642,0.27254698468696387,aavso_rtaur.dat
S Sge,8.387483355525966,-3.8,11565,0.2159885415877001,aavso_ssge.dat
SV Vul,68.30434782608697,-6.08,1480,0.24232063925756844,aavso_svul.dat
U Vul,7.986918604651163,-3.69,6918,0.2007616336397885,aavso_uvul.dat
W Sgr,7.5958737864077674,-3.76,5268,0.20678291037066135,aavso_wsgr.dat
X Cyg,16.40625,-4.46,27879,0.321488090758743,aavso_xcyg.dat
zeta Gem,10.150729335494328,-3.99,14765,0.17185918856048601,aavso_zetgem.dat
