JD,Magnitude
2458503.25,4.0
2458503.289,3.9
2458503.43194,4.3
2458503.50347,4.3
2458504.25,4.2
2458507.25,3.4
2458509.5653,4.3
2458511.96458,3.7
2458512.256,4.0
2458513.25,3.8
2458514.61458,4.0
2458515.25,4.2
2458518.243,4.3
2458518.25,3.6
2458522.95208,3.6
2458523.61736,4.1
2458524.36458,3.9
2458524.5354,4.1
2458525.94722,3.9
2458526.256,4.4
2458528.1285,3.5
2458528.625,3.8
2458529.25,3.7
2458529.94444,3.6
2458529.98125,3.9
2458530.2708,4.0
2458531.325,4.2
2458532.95903,3.6
2458533.61667,3.3
2458538.2708,3.53
2458538.281,3.7
2458538.3097,3.4
2458539.229,3.6
2458539.2708,3.5
2458539.28958,3.85
2458539.62153,3.7
2458541.2708,4.0
2458542.2917,4.2
2458542.58194,4.3
2458544.3104,3.4
2458546.58819,4.1
2458546.647,4.0
2458547.552,4.1
2458548.2917,4.2
2458548.61181,4.2
2458548.686,4.2
2458549.701,3.5
2458550.541,3.7
2458551.556,4.0
2458552.4167,4.0
2458554.314,3.7
2458554.4167,3.53
2458554.56736,3.9
2458554.97014,3.7
2458556.208,3.7
2458556.208,3.6
2458556.25,3.7
2458564.93194,3.7
2458565.54792,3.5
2458565.94097,3.6
2458566.321,3.6
2458568.90903,4.2
2458568.93264,4.0
2458569.575,4.3
2458569.90556,4.1
2458571.52,3.7
2458571.94375,3.9
2458572.32,3.6
2458572.4583,3.8
2458573.91528,4.1
2458574.90903,4.1
2458576.90278,3.7
2458577.513,3.6
2458581.92222,3.7
2458582.90903,4.0
2458583.333,3.8
2458583.472,3.7
2458585.555,3.7
2458586.292,3.6
2458586.89722,3.6
2458588.92569,3.9
2458589.70694,3.9
2458590.333,4.2
2458593.60764,3.8
2458593.88958,3.9
2458594.52,3.8
2458595.4167,4.0
2458598.58681,3.7
2458598.87708,3.7
2458600.81736,4.1
2458604.423,3.9
2458605.527,3.8
2458606.27,4.0
2458606.27,4.0
2458606.277,4.0
2458606.458,4.1
2458607.4167,4.0
2458608.25,3.6
2458608.25,3.6
2458608.256,3.6
2458608.375,3.4
2458608.75139,3.7
2458608.77153,3.5
2458609.27,3.6
2458609.27,3.7
2458609.27,3.7
2458609.277,3.6
2458609.486,3.6
2458613.437,3.7
2458614.25,3.7
2458614.4167,3.4
2458614.70694,3.8
2458615.4167,3.8
2458615.77083,4.1
2458617.506,4.0
2458617.84583,4.3
2458618.875,3.5
2458624.277,3.7
2458624.277,3.7
2458624.541,3.5
2458626.506,3.7
2458627.388,3.8
2458630.4014,3.5
2458630.5,3.5
2458631.305,3.7
2458632.333,3.9
2458633.326,4.0
2458635.368,3.6
2458635.368,3.6
2458635.368,3.6
2458635.368,3.6
2458635.368,3.6
2458635.368,3.5
2458636.298,3.7
2458636.298,3.7
2458640.305,3.6
2458640.305,3.6
2458640.4229,3.5
2458641.298,3.7
2458641.298,3.7
2458641.298,3.7
2458641.298,3.7
2458641.305,3.7
2458641.73542,3.6
2458642.69931,4.0
2458642.72292,3.9
2458642.87778,3.9
2458643.4375,4.0
2458644.298,4.1
2458644.298,4.1
2458644.298,4.1
2458644.326,4.1
2458645.298,4.0
2458645.305,4.0
2458645.305,4.0
2458645.305,4.0
2458645.4354,3.5
2458645.68194,3.6
2458645.70208,3.6
2458646.298,3.6
2458646.305,3.6
2458646.305,3.6
2458646.305,3.6
2458649.305,4.0
2458649.305,4.0
2458649.305,4.0
2458649.305,4.0
2458649.305,4.0
2458649.305,4.0
2458650.305,4.0
2458650.305,4.0
2458650.305,4.0
2458650.305,4.0
2458650.305,4.0
2458651.305,3.6
2458651.305,3.6
2458651.305,3.6
2458651.305,3.6
2458651.305,3.6
2458651.305,3.6
2458651.305,3.6
2458652.305,3.6
2458652.305,3.6
2458652.305,3.6
2458652.305,3.6
2458652.305,3.6
2458652.305,3.6
2458652.305,3.6
2458652.4375,3.53
2458652.486,3.5
2458653.305,3.8
2458653.305,3.8
2458653.305,3.8
2458653.305,3.8
2458653.305,3.8
2458653.305,3.8
2458653.305,3.8
2458653.305,3.8
2458654.305,4.0
2458654.305,4.0
2458654.305,4.0
2458654.305,4.0
2458654.305,4.0
2458654.305,4.1
2458654.312,4.0
2458655.305,3.8
2458655.305,3.8
2458655.305,3.8
2458655.305,3.8
2458655.305,3.8
2458655.305,3.8
2458655.305,3.8
2458655.305,3.8
2458655.66389,4.1
2458656.305,3.5
2458656.305,3.5
2458656.305,3.5
2458656.305,3.5
2458656.305,3.5
2458656.305,3.6
2458659.263,3.8
2458659.27,3.8
2458661.305,3.9
2458661.305,3.9
2458661.305,3.9
2458661.305,3.9
2458661.326,3.8
2458661.6826,3.8
2458662.305,3.6
2458662.305,3.6
2458662.305,3.6
2458662.326,3.5
2458662.326,3.5
2458662.4625,3.5
2458663.298,3.7
2458663.298,3.8
2458663.305,3.8
2458663.45139,3.6
2458664.4181,4.0
2458664.6347,4.3
2458665.684,4.3
2458666.298,4.1
2458666.305,4.1
2458666.6806,4.0
2458666.82639,3.9
2458667.3924,3.4
2458667.4201,3.4
2458667.4375,3.4
2458667.4431,3.3
2458668.3813,3.6
2458668.4375,3.6
2458669.298,3.6
2458669.298,3.6
2458669.298,3.6
2458669.298,3.6
2458669.305,3.6
2458669.4035,3.9
2458669.6688,4.1
2458670.298,3.7
2458670.305,3.7
2458670.305,3.8
2458670.305,3.8
2458670.305,3.8
2458670.6736,4.3
2458671.298,4.1
2458671.305,4.1
2458671.305,4.1
2458671.305,4.0
2458671.3931,4.0
2458672.298,3.7
2458672.305,3.6
2458672.305,3.6
2458672.305,3.7
2458672.3903,3.6
2458672.5014,3.5
2458672.64931,3.5
2458673.3993,3.5
2458673.6479,3.5
2458673.77431,3.7
2458674.298,3.6
2458674.298,3.6
2458674.298,3.6
2458674.6539,4.0
2458675.4264,3.9
2458675.71319,4.1
2458676.4118,4.2
2458676.71875,4.2
2458677.6486,3.5
2458677.75347,3.8
2458678.5,3.5
2458679.4111,3.6
2458682.298,3.9
2458682.305,3.8
2458682.305,3.8
2458682.305,3.8
2458683.3708,3.4
2458683.465,3.5
2458684.298,3.6
2458684.298,3.6
2458684.305,3.6
2458685.298,3.9
2458685.298,3.9
2458685.298,3.9
2458685.305,3.9
2458686.298,4.0
2458686.298,4.0
2458686.305,4.0
2458686.375,4.0
2458687.50556,4.2
2458687.62986,4.1
2458687.74097,4.1
2458688.625,3.5
2458688.72292,3.5
2458689.4285,3.5
2458689.63194,3.6
2458689.6542,3.5
2458690.3875,3.9
2458691.3813,4.0
2458691.48889,4.0
2458691.5417,4.0
2458691.7,4.4
2458692.277,3.9
2458692.284,3.9
2458692.284,3.9
2458692.284,3.9
2458692.284,3.9
2458692.3681,4.2
